title,description,symbol,sentiment_score
Wall Street drops as Nvidia rally fades and US jobs data fuels volatility,"Wall Street reversed sharply after an early Nvidia-led rally faded, with tech stocks dragging indices lower as mixed U.S. jobs data raised uncertainty over Fed rate cuts.",WMT,0.0516
"Procter & Gamble’s (PG) at a “Real Low,” Says Jim Cramer","We recently published 11 Stocks Jim Cramer Talked About. The Procter & Gamble Company (NYSE:PG) is one of the stocks Jim Cramer recently discussed. The Procter & Gamble Company (NYSE:PG) is one of the biggest consumer goods companies in the world. Cramer has praised the firm’s management in previous appearances. More recently, he discussed The […]",PG,0.302767
Jim Cramer Says Procter & Gamble “Has the Scale and the Science to Make Things Cheaper”,"The Procter & Gamble Company (NYSE:PG) is one of the stocks Jim Cramer recently put under a microscope. Cramer highlighted that he used the company as an example in his book. He said: “Sometimes when stocks are doing badly, I get worried, not because I want to get out, but because I wonder if I […]",PG,0.11765
"“Proctor (PG)’s A Juggernaut,” Says Jim Cramer","We recently published 11 Latest Stocks Jim Cramer Talked About. The Procter & Gamble Company (NYSE:PG) is one of the stocks Jim Cramer recently discussed. The Procter & Gamble Company (NYSE:PG) is one of the largest consumer goods companies in the world. In his previous comments, Cramer has called the firm one of “the best” […]",PG,0.3954
Mastercard Incorporated (MA) Presents at Citi's 14th Annual FinTech Conference Transcript,"Mastercard Incorporated (MA) Citi's 14th Annual FinTech Conference November 19, 2025 10:30 AM ESTCompany ParticipantsSachin Mehra - Chief Financial...",MA,0.0
Tigress Financial Raises PT on Mastercard (MA) Stock,"Mastercard Incorporated (NYSE:MA) is one of the Best Fundamentally Strong Stocks to Buy. On November 6, Tigress Financial lifted the price target on the company’s stock to $730 from $685, while keeping a “Strong Buy” rating, as reported by The Fly. As per the analyst, Mastercard Incorporated (NYSE:MA) posted robust Q3 2025 results and has been benefiting from accelerating […]",MA,0.637975
Mastercard Incorporated (MA) Presents at KBW Fintech Payments Conference 2025 Transcript,"Mastercard Incorporated (MA) KBW Fintech Payments Conference 2025 November 12, 2025 1:55 PM ESTCompany ParticipantsMichael Miebach - CEO &...",MA,0.0
UnitedHealth Group Incorporated (UNH) is Attracting Investor Attention: Here is What You Should Know,"UnitedHealth (UNH) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",UNH,0.4767
Is UnitedHealth Group (UNH) Trading at an Attractive Valuation?,"Cullen Capital Management, LLC, operating under the name Schafer Cullen Capital Management, Inc. (SCCM), has released its “SCCM Value Equity Strategy” third-quarter investor letter. A copy of the letter can be downloaded here. The US equity market continued the rally in the third quarter, with the S&P 500 returning 8.1% and the Russell 1000 Value surging 5.3%. […]",UNH,0.407433
"Monster Beverage, UnitedHealth, Thermo Fisher Scientific And More: CNBC's 'Final Trades' - Monster Beverage (NASDAQ:MNST), iShares U.S. Healthcare ETF (ARCA:IYH)",Today's,UNH,-0.1469
"The Home Depot, Inc. (HD) Q3 2026 Earnings Call Transcript","The Home Depot, Inc. (HD) Q3 2026 Earnings Call November 18, 2025 9:00 AM ESTCompany ParticipantsIsabel Janci - VP of Investor Relations &...",HD,0.47465
Stock Market Live November 18: S&P 500 (VOO) Opens Lower as Google CEO Warns of an AI Selloff,"This article will be updated throughout the day, so check back often for more daily updates. The Vanguard S&P 500 ETF (NYSEMKT: VOO) lost nearly 1% on Monday, and as Tuesday dawns is continuing to slide, down another 0.4% premarket. Media pundits continue to blame investor worries about an over-heated market, and overpriced AI stocks ... Stock Market Live November 18: S&P 500 (VOO) Opens Lower as Google CEO Warns of an AI Selloff",HD,-0.296
Home Depot Earnings Are Imminent; These Most Accurate Analysts Revise Forecasts Ahead Of Earnings Call - Home Depot (NYSE:HD),,HD,0.26335
"Use this 60-second exercise to spark creativity at work, says former Disney innovation head","Duncan Wardle, the former head of innovation and creativity at Disney, uses",DIS,0.7964
The Walt Disney Company (DIS) Presents at Wells Fargo's 9th Annual TMT Summit Transcript,"The Walt Disney Company (DIS) Wells Fargo's 9th Annual TMT Summit November 19, 2025 11:00 AM ESTCompany ParticipantsHugh Johnston - Senior Executive VP...",DIS,0.25
Here’s Why The Walt Disney Company (DIS) Declined in Q3,"Cullen Capital Management, LLC, operating under the name Schafer Cullen Capital Management, Inc. (SCCM), has released its “SCCM Value Equity Strategy” third-quarter investor letter.",DIS,0.0
Berkshire Hathaway May Not Come Back,"Warren Buffett soon departs Berkshire Hathaway as CEO. His replacement, Greg Abel, is no Warren Buffett. Will Berkshire Hathaway ever be the same?",BAC,-0.1137
The Tech Rotation Is On and Dividend-Paying Blue-Chips Are the Winners,These six top blue-chip dividend stocks remain outstanding ideas for investors seeking to move away from tech stocks.,BAC,0.1779
Investors Heavily Search Bank of America Corporation (BAC): Here is What You Need to Know,"Recently, Zacks.com users have been paying close attention to Bank of America (BAC). This makes it worthwhile to examine what the stock has in store.",BAC,0.0
Exxon Mobil: Why Stability Trumps Higher Dividend Yield (NYSE:XOM),"Exxon Mobil is downgraded from 'strong buy' to 'buy' as recent trading has been flat, but dividend stability remains attractive. Learn more about XOM stock here.",XOM,0.24695
Looking At Exxon Mobil's Recent Unusual Options Activity - Exxon Mobil (NYSE:XOM),,XOM,0.193127
Tom Lee Says MSTR Could Become 'One Of the Largest Companies' As Strategy Adds $800M In Bitcoin - Strategy (NASDAQ:MSTR),Strategy Inc.,XOM,0.5994
Verizon Communications's Options: A Look at What the Big Money is Thinking - Verizon Communications (NYSE:VZ),,VZ,0.241191
Verizon Communications Inc. (VZ) is Attracting Investor Attention: Here is What You Should Know,"Zacks.com users have recently been watching Verizon (VZ) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",VZ,0.4767
Have $500? 3 Absurdly Cheap Stocks Long-Term Investors Should Buy Right Now,"Not all cheap stocks are necessarily worth buying. Most aren't, in fact. Some attractive stocks, however, are even more attractive due to their unusually low valuations right now.",VZ,0.0404
"Top 3 Tech Stocks You'll Regret Missing In November - Adeia (NASDAQ:ADEA), Adobe (NASDAQ:ADBE)",,ADBE,0.0
Adobe: The Semrush Acquisition Strengthens Its AI Chops (NASDAQ:ADBE),"Adobe Inc. acquires Semrush Holdings, Inc. for $1.9B to boost AI and creative software, unlocking cross-sell and other opportunity. Click for more on ADBE and SEMR.",ADBE,0.4588
Wall Street Rallies as Tech Reclaims Control and Indexes Break 4-Day Slide,Market Analysis by  covering: . Read 's Market Analysis on Investing.com,ADBE,0.5267
"Democrats introduce bill limiting donations to Trump's $300 million ballroom, call it ‘golden crime scene’","US Senator Elizabeth Warren of Massachusetts and US Representative Robert Garcia of California introduced the bill, named “Stop Ballroom Bribery Act”, on Tuesday.",CMCSA,0.0772
Competitive Pressure Pulled Down Comcast Corporation (CMCSA) in Q3,"Cullen Capital Management, LLC, operating under the name Schafer Cullen Capital Management, Inc. (SCCM), has released its “SCCM Value Equity Strategy” third-quarter investor letter. A copy of the letter can be downloaded here. The US equity market continued the rally in the third quarter, with the S&P 500 returning 8.1% and the Russell 1000 Value surging 5.3%. […]",CMCSA,0.326671
Wall Street Breakfast Podcast: Delayed Job Numbers Out Today,Long-delayed September nonfarm payrolls expected to be relatively steady. Netflix will keep releasing Warner Bros. films in theaters if it bought the studio. ByteDance's valuation soars.,CMCSA,0.4019
"Trai faces tough call before spectrum auction amid operators' rift over usage, costs, new frequencies","Trai faces challenges regarding the upcoming spectrum auction, with Big Tech and telecom companies in disagreement over the use and pricing of radio spectrum. Key issues include when to auction the 6 GHz band, price reductions, and spectrum caps.",INTC,0.2011
Nvidia’s rising stock price takes fellow chip giants along for the ride as renewed AI enthusiasm fuels fresh rally,"AMD, Arm, and Broadcom are among the chip companies whose shares are up in premarket trading after Nvidia's earnings eased fears of an AI bubble.",INTC,0.0
Intel: Renewed AI CPU Monetization Prospects - Premature Rally (NASDAQ:INTC),"Intel's AI CPU growth, NVIDIA partnership, and x86 market focus drive long-term value, despite near-term volatility.",INTC,0.22455
"Freeport-McMoRan, Cisco And Teradyne: CNBC’s ‘Final Trades’ - Cisco Systems (NASDAQ:CSCO), Freeport-McMoRan (NYSE:FCX)","Freeport-McMoRan, Cisco, Teradyne and McKesson each get a shoutout on the latest edition of CNBC's 'Final Trades.'",CSCO,0.03395
"Cisco (CSCO)’s A “Cheap, Inexpensive Data Center Play,” Says Jim Cramer","We recently published 8 Stocks Jim Cramer Discussed & Mentioned An Important Quantum Computing Development. Cisco Systems Inc. (NASDAQ:CSCO) is one of the stocks Jim Cramer discussed. Cisco Systems Inc. (NASDAQ:CSCO) also reported earnings the day this show was aired. Ahead of the release, Cramer had asserted that the stock was cheap and its valuation […]",CSCO,0.2202
Nvidia's Jensen Huang needs investors to party like it’s not 1999,"Amid rising fears of an AI bubble, Nvidia's stock is under scrutiny, echoing the turbulent period of the dot-com crash that led to years of market stagnation. While Nvidia has impressive earnings projections, major hurdles remain, compounded by big investors selling off their stakes and the struggles of firms like CoreWeave.",CSCO,-0.5994
"BFGoodrich Tires, Paramount+ partner on Season 2 of ""Landman""","BFGoodrich Tires, the pioneer of peak off-road driving performance, today announced a product integration partnership with Paramount+ and the hit TV series Landman, which returned for its second season on Nov. 16. New episodes of Landman, starring Oscar® winner Billy Bob Thornton, are available to stream every Sunday.",NFLX,0.4767
Netflix (NFLX) Down 1.5% Since Last Earnings Report: Can It Rebound?,Netflix (NFLX) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,NFLX,0.0
Why Jack In The Box Stock Popped Today,Investors looked past a weak quarter as the fast-food chain leaned harder into its turnaround plan.,NFLX,0.0
Wall Street Gives Up on High-Yield Stocks,"When the AI bubble bursts, Altria will look like a pretty good investment again. It has paid out billions in dividends over the years, and that is unlikely to stop.",PFE,0.0258
Pfizer: Is This Pharma Giant Finally A Bargain (NYSE:PFE),"Discover why Pfizer stock may be set for a bull run by 2026 with key wins, strong Q3 earnings, and growth drivers.",PFE,0.2023
Pfizer Inc. (PFE) Presents at Jefferies London Healthcare Conference 2025 Transcript,"Pfizer Inc. (PFE) Jefferies London Healthcare Conference 2025 November 19, 2025 4:00 AM ESTCompany ParticipantsDavid Denton - Executive VP &...",PFE,0.0
J & J SNACK FOODS CORP. ANNOUNCES QUARTERLY CASH DIVIDEND,"MOUNT LAUREL, N.J., Nov. 20, 2025 (GLOBE NEWSWIRE) -- J & J Snack Foods Corp. (Nasdaq: JJSF) announced today that its Board of Directors has declared a quarterly cash dividend of $0.80 per share of its common stock payable on January 6, 2026, to shareholders of record as of the close of business on December 16, 2025.",KO,0.0
Worried About a Bear Market? 3 Reasons to Buy Coca-Cola Like There's No Tomorrow,"A bear market is going to happen whether you like it or not, but buying Coca-Cola can help you survive the hit.",KO,0.7003
Why Coca-Cola Consolidated Stock Skyrocketed This Week,Investors are loving this $2.4 billion move that Coca-Cola Consolidated made.,KO,0.5261
"PepsiCo: Strong Fundamentals, Soft Volumes, And A Lot Riding On Q4 (NASDAQ:PEP)","PepsiCo posted modest Q3 growth, but soft North American volumes raise concerns heading into a critical Q4. Read why PEP stock is a Hold.",PEP,0.5848
PepsiCo: Tariff Headwinds Aren't Going Away (NASDAQ:PEP),"PepsiCo, Inc. is a Hold due to ongoing tariff headwinds, margin pressure and mixed North America & International performance. Read more on PEP stock here.",PEP,0.2553
PepsiCo's Challenges And How To Unlock Opportunities (NASDAQ:PEP),"PepsiCo trades at a P/E discount with capacity and portfolio actions, lower capex, Elliott backing and the Celsius partnership. Read why PEP stock is a buy.",PEP,0.2202
The Tech Rotation Is On and Dividend-Paying Blue-Chips Are the Winners,These six top blue-chip dividend stocks remain outstanding ideas for investors seeking to move away from tech stocks.,T,0.406567
Is Trending Stock AT&T Inc. (T) a Buy Now?,"Recently, Zacks.com users have been paying close attention to AT&T (T). This makes it worthwhile to examine what the stock has in store.",T,0.0
This ’Bubble Fear’ Sets Up a Big Opportunity — These 6%+ Dividends Are the Play,"Market Analysis by  covering: SPDR® S&P 500® ETF Trust, Gabelli Dividend & Income Closed Fund, Neuberger Berman Next Generation Connectivity Fund Inc. Read 's Market Analysis on Investing.com",T,0.8285
"Top Analyst Reports for Visa, Merck & Southern Company","Visa sees solid volume growth and cross-border gains, while Merck and Southern Company navigate competitive and regulatory pressures.",MRK,0.45562
"Merck & Co., Inc. (MRK) Presents at Jefferies London Healthcare Conference 2025 Transcript","Merck & Co., Inc. (MRK) Jefferies London Healthcare Conference 2025 November 20, 2025 9:30 AM ESTCompany ParticipantsPeter Dannenbaum - Vice President...",MRK,0.0
"Merck's WINREVAIR Meets Primary Endpoint In Phase 2 CADENCE Study, Stock Up In Pre-Market","Merck & Co., Inc. (MRK), Tuesday announced positive topline results from the Phase 2 CADENCE study of WINREVAIR, a brand name for sotatercept-csrk, in adults with combined post- and pre-capillary pulmonary hypertension due to heart failure with preserved ejection fraction.",MRK,0.6705
Unpacking the Latest Options Trading Trends in AbbVie - AbbVie (NYSE:ABBV),,ABBV,0.192918
AbbVie Inc. (ABBV) Is a Trending Stock: Facts to Know Before Betting on It,"AbbVie (ABBV) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",ABBV,0.0
A Look Into AbbVie Inc's Price Over Earnings - AbbVie (NYSE:ABBV),,ABBV,0.086533
The Tech Rotation Is On and Dividend-Paying Blue-Chips Are the Winners,These six top blue-chip dividend stocks remain outstanding ideas for investors seeking to move away from tech stocks.,CVX,0.820733
Russian Crude Piles Up but Oil Prices Refuse to Move,"The oil market’s main bullish driver is the Rosneft/Lukoil sanctions, but so far they’ve only led to a buildup of Russian crude at sea.",CVX,0.02495
Investors Heavily Search Chevron Corporation (CVX): Here is What You Need to Know,"Chevron (CVX) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",CVX,0.0
"NIKE, Inc. (NKE) is Attracting Investor Attention: Here is What You Should Know","Zacks.com users have recently been watching Nike (NKE) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",NKE,0.4767
Estée Lauder CFO on driving a turnaround led by consumer-first innovation,Akhil Shrivastava discusses strategy and leadership lessons.,NKE,0.0
"Nike: Strong Brand And Solid Business, But Unlikely To Outperform The Benchmark (NYSE:NKE)","Get insights on Nike's stock valuation, recent earnings, and future outlook. Learn why NKE may face limited upside and if it's time to hold or reassess.",NKE,0.5994
"McDonald's: A Resilient Defensive Play, But Premium Valuation May Cap Upside (NYSE:MCD)","McDonald's remains a solid defensive stock, but its upside is limited due to a high valuation premium. Check out MCD's tailwinds and headwinds here.",MCD,0.46655
McDonald's Stock: McStuck In Value Meal Purgatory - Sell (NYSE:MCD),McDonald's stock faces headwinds from weak consumer spending and pricing pressure. Read here for an investment analysis of MCD stock.,MCD,0.34
3 Stocks That Could Be Easy Wealth Builders,"Buy, hold, and reinvest the dividends of these stocks for big-time results down the road.",MCD,0.654133
Bread Financial Announces Pricing of an Offering of Depositary Shares Representing Interests in Its Series A Preferred Stock,"COLUMBUS, Ohio, Nov. 20, 2025 (GLOBE NEWSWIRE) -- Bread Financial Holdings, Inc. (NYSE: BFH) ('Bread Financial” or the 'Company”) announced today the pricing of its previously announced underwritten public offering of depositary shares (the 'Depositary Shares”), each representing a 1/40th interest in a share of its Non-Cumulative Perpetual Preferred Stock, Series A, par value $0.01 per share (the 'Series A Preferred Stock”), with a liquidation preference of $25 per Depositary Share (equivalent to $1,000 per share of Series A Preferred Stock).",WFC,0.5267
The Tech Rotation Is On and Dividend-Paying Blue-Chips Are the Winners,These six top blue-chip dividend stocks remain outstanding ideas for investors seeking to move away from tech stocks.,WFC,-0.1531
PIEDMONT REALTY TRUST ANNOUNCES PRICING OF CASH TENDER OFFER FOR ANY AND ALL OF ITS OUTSTANDING 9.250% SENIOR NOTES DUE 2028,"Atlanta, Nov. 19, 2025 (GLOBE NEWSWIRE) -- Piedmont Realty Trust, Inc. ('Piedmont” or the 'Company”) (NYSE: PDM) today announced the pricing of the cash tender offer to purchase any and all of its outstanding 9.250% senior notes due 2028 (the 'notes”) for the consideration described below by its operating partnership, Piedmont Operating Partnership, LP (the 'Operating Partnership”). The table below sets forth the applicable Reference Yield and Consideration for the notes, as calculated at 2:00 p.m., New York City time, today, November 19, 2025, in accordance with the Offer to Purchase.",WFC,0.5331
"Exact Sciences Corporation (EXAS) Abbott Laboratories, - M&A Call - Slideshow (NASDAQ:EXAS) 2025-11-20",2025-11-20. The following slide deck was published by Exact Sciences Corporation in conjunction with this event.,ABT,0.0
"Why Eaton's CFO change isn't a red flag — plus, Palo Alto's buzzy new deal","The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",ABT,0.34
Abbott’s $21 Billion Exact Sciences Deal Fills Void Of Lost Covid Test Sales,Abbott Laboratories $21 billion deal to acquire cancer test maker Exact Sciences could bolster the company’s diagnostic division that has lost sales from COVID tests.,ABT,-0.7792
Wall Street Bulls Look Optimistic About Salesforce.com (CRM): Should You Buy?,"Based on the average brokerage recommendation (ABR), Salesforce.com (CRM) should be added to one's portfolio. Wall Street analysts' overly optimistic recommendations cast doubt on the effectiveness of this highly sought-after metric. So, is the stock worth buying?",CRM,0.3182
Low-code Development Platform Market to Reach USD 67.12 Billion by 2030 with Key Trends in Cloud and AI Adoption,Low-code Development Platform Market to Reach USD 67.12 Billion by 2030 with Key Trends in Cloud and AI Adoption Low-code Development Platform Market Overview The Low-code Development Platform Market …,CRM,0.2997
A Once-in-a-Decade Investment Opportunity: 1 Little-Known Vanguard Index Fund to Buy for the Artificial Intelligence (AI) Boom,"AI stocks are a massive opportunity, but picking individual winners isn't for everyone.",CRM,0.0
CNBC Daily Open: Investors suffer from whiplash as AI stocks gyrate,"Nvidia CEO Jensen Huang's rejection of the AI bubble narrative seemed to reassured investors initially, but their concerns couldn't be repressed for long.",ORCL,0.1208
The Tech Rotation Is On and Dividend-Paying Blue-Chips Are the Winners,These six top blue-chip dividend stocks remain outstanding ideas for investors seeking to move away from tech stocks.,ORCL,0.8176
Microsoft (NASDAQ: MSFT) Stock Price Prediction for 2025: Where Will It Be in 1 Year,"Shares of Microsoft (NASDAQ:MSFT) lost 1.48% over the past five trading sessions after gaining 1.27% the five prior. That brings MSFT’s year-to-date gain to 16.22%, including a more than 37% gain since its year-to-date low on April 8. When the Magnificent Seven member reported Q3 earnings on Oct. 29, shares fell despite beating on EPS ... Microsoft (NASDAQ: MSFT) Stock Price Prediction for 2025: Where Will It Be in 1 Year",ORCL,0.1779
"IMU Biosciences Appoints Dr. Carlos Paya as Non-Executive Director, Strengthening its Board of Directors",PRESS RELEASE,LLY,0.296
Eli Lilly Unusual Options Activity For November 19 - Eli Lilly (NYSE:LLY),,LLY,0.0564
"Eli Lilly wants to be part of making a big dent in obesity and diabetes, says co's India head Winselow Tucker","Eli Lilly India chief Winselow Tucker said the companys strategy of combining a strong product with ecosystem partnerships and patient education has helped drive early momentum for Mounjaro in India, where the dual-action diabetes and obesity drug has clocked ₹450 crore in sales within seven months. He said India has a large unmet need, with nearly 100 million people living with obesity and diabetes, and that tirzepatides dual GIP and GLP-1 mechanism has set it apart in both weight and glucose management.",LLY,0.3942
Accenture Unusual Options Activity - Accenture (NYSE:ACN),,ACN,0.197264
Investors Heavily Search Accenture PLC (ACN): Here is What You Need to Know,"Zacks.com users have recently been watching Accenture (ACN) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",ACN,0.0
Here’s Why ClearBridge Growth Strategy Decided to Sell Accenture plc (ACN),"ClearBridge Investments, an investment management company, released its “ClearBridge Growth Strategy” third-quarter 2025 investor letter. A copy of the letter can be downloaded here. US equities significantly rallied in the third quarter, with the S&P 500 returning 8.1%. The benchmark Russell Midcap Growth Index surged 2.8%. The investor optimism was driven by better-than-feared tariff outcomes, […]",ACN,0.42865
Costco Wholesale Corporation (COST): Our Calculation of Intrinsic Value,,COST,0.59775
This Is What Whales Are Betting On Costco Wholesale - Costco Wholesale (NASDAQ:COST),,COST,0.125682
